BALANCE,PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_TRX,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS
809.582978,0,0,0,0,0,3819.672466,4150,4372.148648
7.152356,840,0.083333,840,0,1,0,1600,0
1923.886805,1887.64,1,0,1887.64,61,1605.949371,1850,3688.045998
1758.059987,412.33,0.583333,325.21,87.12,11,0,1800,777.451648
809.847455,0,0,0,0,0,908.423608,1500,146.074769
1576.305029,0,0,0,0,0,382.908547,2500,540.022225
3990.523579,263.5,0.666667,190.6,72.9,8,0,6000,6876.836205
1699.435486,1363.69,0.333333,1363.69,0,4,0,1700,1623.816348
5487.683724,419.1,0.916667,0,419.1,11,625.399386,6250,1288.214909
2990.422186,4523.27,0.666667,1664.09,2859.18,33,27296.48576,7000,28232.69446
656.01301,0,0,0,0,0,1474.349901,7000,910.457985
1808.972419,713.9,0.5,503.08,210.82,8,0,2250,889.017418
532.334517,791.94,0.272727,516.64,275.3,7,0,6000,1305.177304
5860.433624,561.87,0.833333,249.5,312.37,14,0,6000,1990.044998
1727.638449,606.11,1,606.11,0,17,0,11000,2959.920544
578.809679,320,0.75,0,320,8,0,1500,1438.910569
1205.716678,0,0,0,0,0,38.325801,1200,29.278671
6593.820644,388.66,0.583333,388.66,0,7,4621.93458,7000,1624.583114
17.357563,244.85,0.666667,40.21,204.64,13,0,5000,357.802082
81.584711,0,0,0,0,0,2985.300006,9500,116.569033
3.78631,133.05,0.416667,28.2,104.85,5,0,12000,210.053432
42.46443,396,0.5,0,396,12,0,1200,725.606194
1935.362486,4915.6,1,4515.34,400.26,50,293.844792,9000,4921.066897
134.917202,1247.8,1,1247.8,0,22,0,16500,1275.229436
7069.950386,1603.78,1,1445.14,158.64,23,5626.004046,11000,4589.873897
8181.251131,2258.01,1,1318.78,939.23,60,5251.228934,13500,3021.575846
4037.305658,45,0.083333,45,0,1,104.238064,4500,1073.844885
6110.265264,0,0,0,0,0,2717.253917,6500,1502.205631
9381.255094,5100.07,1,1147.83,3952.24,46,370.737197,9000,6409.496345
1977.00709,1032.04,0.909091,226.9,805.14,17,4335.919227,4000,3056.424974
1321.47608,45.65,0.083333,45.65,0,1,495.657934,1800,440.840439
1307.717841,405.6,0.166667,405.6,0,2,0,2400,0
2329.485768,213.34,0.25,213.34,0,3,0,2400,0
1139.782882,0,0,0,0,0,120.612912,1200,151.823651
1619.955708,739.44,0.666667,739.44,0,11,0,6000,417.128532
3505.671311,0,0,0,0,0,1713.984305,4000,0
4.708041,79,0.25,0,79,3,0,7000,217.820198
0,0,0,0,0,0,89.849004,3000,138.021428
4.875885,20,0.111111,20,0,1,0,1500,26.487919
23.394411,1346.28,1,0,1346.28,12,0,2000,712.149153
3539.801912,2823.8,0.916667,1540.41,1283.39,75,0,5700,9172.788366
0.62424,389.96,1,0,389.96,31,0,4500,0
862.07238,0,0,0,0,0,920.309805,4000,2236.890255
2441.542991,808,0.25,808,0,4,959.857263,4000,532.741699
408.656365,941.64,1,0,941.64,12,0,2500,1097.78942
4986.400804,0,0,0,0,0,5439.467563,8000,1241.538024
1246.624558,423.7,0.666667,177.64,246.06,10,412.399058,2000,577.050373
6644.201651,4478.75,1,2721.59,1757.16,64,7205.520805,9000,10857.94321
156.216753,1354.86,0.916667,585.63,769.23,34,0,5500,858.976682
3393.351236,0,0,0,0,0,1008.348672,4200,0
5322.994094,2812.2,1,857.12,1955.08,81,2510.352951,8500,1509.423237
6458.56209,0,0,0,0,0,3360.228794,7000,1277.76778
175.341651,1508.9,0.666667,1252.36,256.54,14,0,5000,1884.227778
680.195157,1045.57,1,667.95,377.62,25,0,3000,552.432305
223.763616,2309.78,0.583333,0,2309.78,12,0,6500,1206.81188
1785.626943,0,0,0,0,0,576.206382,1800,687.691735
54.933231,495,0.166667,0,495,2,0,7000,1969.845566
2662.629852,0,0,0,0,0,509.023801,3000,932.418855
8504.876253,6724.26,1,4100.08,2624.18,85,1686.599777,17000,1888.756861
1464.324632,1174.39,0.25,1174.39,0,8,0,9000,0
2114.158683,5580.85,1,0,5580.85,75,0,8500,3564.977774
2876.396444,0,0,0,0,0,998.84867,3200,1065.426905
14224.11541,0,0,0,0,0,4614.427403,19000,3066.614272
2392.917738,12462.44,0.916667,12462.44,0,217,0,2800,11628.71557
57.453201,0,0,0,0,0,272.713302,1200,385.853874
4245.855092,1957.3,0.833333,1077.3,880,19,0,5000,1004.35474
11167.23403,150.64,0.083333,150.64,0,1,8362.154254,17000,2606.059389
69.405545,0,0,0,0,0,2799.714934,13000,0
116.654149,907,0.25,907,0,8,273.558033,5000,0
4637.848144,1271.12,0.833333,351.54,919.58,33,0,5000,1906.032044
24.28497,250.6,0.583333,0,250.6,7,0,3000,319.762903
9354.06045,796.33,0.083333,796.33,0,1,13748.47131,13000,10664.65866
231.108995,440,0.916667,0,440,22,0,4000,554.116542
1562.633343,1330.62,0.5,1169.63,160.99,8,0,2000,1020.783647
2494.868559,5491.79,1,1390.5,4101.29,52,0,17000,1015.311953
706.132889,897.86,0.916667,714.52,183.34,18,586.268966,1200,972.358048
19043.13856,22009.92,1,9449.07,12560.85,216,0,18000,23018.57583
2235.103331,720.6,1,720.6,0,12,723.308724,2500,1061.292471
947.13081,197.06,0.333333,148.66,48.4,5,0,1000,492.200419
764.042156,0,0,0,0,0,1307.102516,7500,1566.806897
5347.814547,0,0,0,0,0,4002.353384,7000,0
10598.46777,2084.48,0.666667,1300.48,784,13,0,21500,3219.621433
2163.678757,5779.36,1,3436.53,2342.83,97,0,6500,4416.41268
3057.400553,1025,0.083333,1025,0,2,0,7500,698.854095
19.354559,689.7,0.833333,0,689.7,10,0,10000,746.691026
264.811595,28.65,0.083333,28.65,0,1,384.26178,9000,1235.630069
1108.22253,944.96,0.5,164.96,780,9,0,1500,1955.198953
906.573724,1039.2,0.833333,80,959.2,11,103.102091,13500,1855.235407
7679.62904,4059.93,0.583333,0,4059.93,14,555.469352,7000,3685.61062
1523.911458,4075.37,1,3322.28,753.09,31,0,6500,2254.26002
49.206256,870.24,1,0,870.24,24,0,8000,835.839952
13673.07961,9792.23,1,3959.81,5832.42,216,2444.445738,20000,11717.30794
106.455975,2463.12,1,789.53,1673.59,46,0,4000,2573.722764
119.760904,1859.34,0.333333,0,1859.34,4,0,20000,3104.275623
5837.105453,3488.49,1,3262.25,226.24,46,3303.1523,7900,0
1734.510004,0,0,0,0,0,66.275851,1800,363.474455
2765.748281,7283.31,1,5087.31,2196,77,0,11000,14373.3929
1046.37041,295,0.083333,295,0,2,93.579809,1200,439.407082
2737.367678,0,0,0,0,0,429.691164,3000,778.827993
4014.818167,0,0,0,0,0,988.356213,8500,1009.185035
871.568977,648.22,1,115,533.22,27,0,1200,1110.886425
1610.040203,557.19,0.25,525.64,31.55,5,0,4000,422.711848
114.593817,469.98,1,0,469.98,6,0,1000,367.109312
5800.587339,0,0,0,0,0,369.950794,6500,1346.365584
823.103926,131.64,1,0,131.64,12,0,8000,2916.071564
595.677343,5078.14,0.916667,4330.53,747.61,42,1424.442602,15000,4756.654374
1128.124563,924.6,1,0,924.6,12,0,1000,1202.711782
349.441102,1975.4,0.666667,1393.5,581.9,17,0,4000,1795.012223
840.804076,0,0,0,0,0,3671.777443,4000,3621.266477
975.942008,10221.35,1,7141.38,3079.97,130,1620.685551,10500,10693.49585
23.111088,300,0.25,0,300,3,0,12500,291.948834
2187.732265,0,0,0,0,0,3905.326256,3000,1423.788603
11972.01104,5715,1,4685.54,1029.46,90,1626.351366,14000,4639.513745
1608.451822,0,0,0,0,0,205.737165,1800,470.565984
1872.926275,766.61,0.833333,766.61,0,12,1017.120578,2300,0
2933.240476,0,0,0,0,0,2040.433925,3000,2431.578544
336.799916,3535.8,1,1614.7,1921.1,44,0,20000,2814.231227
36.236312,256.11,0.416667,0,256.11,5,0,5300,831.375322
903.29781,2697.48,1,150.5,2546.98,39,0,2500,1686.196344
0,23,0.083333,0,23,1,0,5000,0
2881.253586,117,0.25,0,117,3,17661.49486,4500,17301.83238
5.465999,196.81,0.083333,173,23.81,3,0,12000,0
117.442684,653.73,0.666667,493,160.73,15,0,10000,441.588141
168.522709,2009.05,0.833333,0,2009.05,22,0,1200,2612.760497
1706.014379,147.78,0.166667,0,147.78,2,1657.090283,6000,1186.062765
874.583247,516.54,1,159.07,357.47,30,0,900,579.749308
861.001207,969.56,0.416667,969.56,0,6,446.233197,2400,0
966.251742,311.45,0.333333,311.45,0,15,955.959749,1500,277.522439
38.615644,280.4,0.25,280.4,0,3,0,6150,254.392984
189.687964,66.14,0.083333,66.14,0,2,0,6000,0
40.417255,79.2,0.083333,79.2,0,1,1631.576375,4000,1647.880773
5462.897068,1453.32,0.5,0,1453.32,18,0,16500,1382.269127
3983.923705,756.54,0.5,756.54,0,15,0,4000,1110.870941
5588.846272,3507.35,0.916667,603.75,2903.6,34,0,11500,1412.597253
281.170378,3163.69,0.75,56.8,3106.89,36,0,8000,2422.911622
130.251538,1343.19,1,1082.79,260.4,33,0,15000,1043.55929
1973.814964,873,0.166667,873,0,5,0,8000,541.722532
5698.539876,47.55,0.166667,0,47.55,2,2039.52804,6000,2976.579866
43.103899,370,0.166667,370,0,2,0,23000,1212.054219
566.546048,405.75,0.5,313.75,92,12,1044.651618,2000,1249.835142
24.527253,261.64,0.833333,0,261.64,10,0,4000,376.758504
8350.145568,1989.28,0.333333,842.8,1146.48,8,893.757903,14000,4720.900413
4559.779234,10848.5,1,8208,2640.5,123,0,7500,9423.715495
2.67713,43.39,0.083333,0,43.39,1,0,4000,130.107234
1570.682346,645.32,0.166667,645.32,0,2,1665.331678,1800,2591.391006
7201.736985,987.1,0.333333,862.1,125,9,5468.620604,10500,1941.541158
6467.885013,1464.14,0.833333,978.71,485.43,23,3947.86784,11500,1658.563509
64.080909,927,0.25,600,327,4,0,5000,1260.16384
5635.860679,393.62,0.916667,153.72,239.9,15,5933.467329,10000,1919.630466
3670.50596,965.5,0.5,876.13,89.37,9,0,7500,1034.932404
2458.376257,0,0,0,0,0,102.275984,7500,4543.63481
768.004936,336.41,0.75,336.41,0,9,0,6000,947.696134
75.647479,540,0.25,0,540,3,0,4000,548.967281
2.433254,36,0.166667,0,36,2,0,7500,0
1121.730896,878.52,1,103.1,775.42,39,197.648111,1500,542.836917
7.56809,144.26,0.333333,67.08,77.18,7,0,11500,134.710832
2053.441598,493.85,0.5,441.35,52.5,10,1738.33378,2000,2795.059574
2422.311938,4490.69,1,3456.25,1034.44,52,188.783221,8500,5763.666926
9047.621884,11188.62,1,6099.16,5089.46,151,0,10000,11994.41815
3061.213971,1829.2,1,1792.7,36.5,17,0,7000,971.234118
41.642389,75.99,0.142857,75.99,0,1,0,2700,69.163384
5431.622968,1824.16,1,1598.56,225.6,23,0,14500,1508.016452
6571.484039,9325.22,0.333333,9325.22,0,5,0,8500,11036.72668
28.461629,100,0.083333,100,0,1,0,4000,125.769169
4178.625215,1431.89,1,430.69,1001.2,39,0,4000,2384.542045
3019.019487,2260.41,0.833333,1356.33,904.08,25,0,8500,2187.930651
1.045584,0,0,0,0,0,466.643895,1200,1068.581252
2723.369217,10410.49,0.75,1158.84,9251.65,41,0,19500,9695.650901
1070.999446,990.7,0.75,482,508.7,13,0,1400,505.317328
279.608696,3034.92,1,0,3034.92,12,0,2900,2928.909865
1255.901821,1038.81,0.916667,1038.81,0,21,1092.634704,5700,1215.454299
2229.857287,45.65,0.083333,45.65,0,1,0,2500,542.7463
2363.489077,2641.98,0.833333,1386.3,1255.68,41,263.884743,3000,1839.928884
4014.388265,1189.52,1,1189.52,0,12,0,8000,0
7623.224897,300,0.5,0,300,6,2800.728343,12000,1975.974183
3421.571922,126.69,0.333333,42.88,83.81,5,154.341344,10500,2515.435738
48.898611,247.09,0.5,0,247.09,7,182.357669,5500,409.594792
1874.716289,301.1,0.583333,83,218.1,10,0,1950,586.974046
3215.511032,1112.2,0.25,1112.2,0,4,7616.064965,7200,0
237.235398,2410.07,0.5,1670.5,739.57,15,0,4000,3773.727455
1272.927288,5350.19,1,4783.34,566.85,101,0,8000,5825.602115
558.476701,630.03,0.090909,630.03,0,1,0,5500,426.092563
2814.207626,3197.24,1,2080.02,1117.22,49,0,3000,3574.480603
8.061012,133,0.25,0,133,3,0,3000,130.61272
435.862142,1646.16,1,1023.42,622.74,33,0,12000,1055.835407
6.390383,79.66,1,0,79.66,12,0,1500,75.896288
9612.21512,319.92,1,0,319.92,12,13439.5704,12000,10993.89211
7938.559134,3677.52,1,3543.73,133.79,98,0,12500,2657.856602
2344.478291,1041.63,0.25,1041.63,0,14,4003.968939,4000,3033.665478
996.48222,675.96,1,0,675.96,12,0,1000,1851.602411
19.508047,193.14,0.416667,0,193.14,5,0,2000,220.46377
185.640313,1703.23,1,1703.23,0,13,0,11500,1449.039414
5335.302925,0,0,0,0,0,468.958688,6000,1350.318606
22.189283,234.16,0.363636,0,234.16,4,0,1500,479.910499
5.871769,29.68,0.083333,29.68,0,1,0,10000,76.943584
1049.496471,1322.67,0.833333,1096.71,225.96,28,774.260436,11000,802.38543
5570.190127,1607.88,1,0,1607.88,84,0,13500,1583.411686
1668.591831,0,0,0,0,0,1716.941235,1800,2166.981163
2224.590946,3183,0.166667,3183,0,2,0,9000,3823.346244
2903.781184,3014.23,1,1340.34,1673.89,93,103.610197,4500,1350.370286
2041.480046,7323.38,1,4944.88,2378.5,81,191.331735,3000,3792.095079
7755.698607,8533.54,1,4072.76,4460.78,72,7540.30735,10000,4758.209146
614.263149,408.93,0.5,74.8,334.13,10,0,9000,2161.153147
8097.334733,3999.92,1,200,3799.92,14,0,7500,5624.074339
1082.33027,2980.46,1,657.78,2322.68,50,0,6000,1116.967993
2734.66412,560.73,0.916667,560.73,0,11,0,7500,717.798364
80.708806,569.9,0.166667,569.9,0,3,0,9500,634.000055
2554.525229,6186.77,0.916667,6099.08,87.69,38,1898.690655,10950,11198.92613
535.947221,4550.81,1,3016.98,1533.83,99,438.469118,8500,4317.191232
3905.365959,150.8,0.166667,150.8,0,2,1659.19931,7500,990.524408
156.278339,1385.1,1,1005.1,380,21,0,14000,1280.473571
5131.319584,32539.78,1,26547.43,5992.35,98,0,11500,26652.34432
5265.763713,410.24,0.916667,44.71,365.53,21,15452.97758,16500,12005.3074
2.564117,47.95,0.083333,47.95,0,1,0,1500,294.507498
1873.084577,126.57,0.25,126.57,0,4,181.139378,2100,483.557464
32.124999,380.89,0.083333,380.89,0,1,0,5700,0
1473.495809,414,0.75,0,414,9,0,10500,5863.94034
1504.82705,2010,1,630,1380,14,1189.292764,8500,859.829946
7645.108427,4693.15,0.5,4332.65,360.5,12,0,13500,4786.64868
1129.33758,498.96,1,0,498.96,12,72.259355,1000,829.505486
668.956687,224.2,0.583333,148.12,76.08,9,0,9500,568.336995
2302.184366,2856.57,1,922.84,1933.73,62,0,2500,2914.419813
272.711518,0,0,0,0,0,682.156051,3000,2755.877257
4246.430225,0,0,0,0,0,9270.408108,7000,6010.525656
2420.761135,0,0,0,0,0,567.233798,3000,871.713321
2935.324966,409.63,0.583333,351.87,57.76,12,1876.241162,5000,580.13865
83.148283,843.34,0.5,843.34,0,17,0,6500,1024.267592
5469.851311,0,0,0,0,0,512.792701,6000,1362.966798
280.142117,2236.49,1,758.52,1477.97,34,0,10000,1986.838064
5790.930626,464.51,0.416667,399.41,65.1,10,2516.727082,6000,1515.594331
3605.714046,1779,0.166667,1779,0,2,0,5000,856.05828
3992.261885,0,0,0,0,0,348.834361,4000,1057.678259
41.833264,456.36,1,0,456.36,14,0,6000,370.996177
635.090434,5758.71,0.75,2252.37,3506.34,48,0,2900,7943.57021
1521.1681,245.98,0.166667,245.98,0,2,2792.67597,6000,2261.523522
5547.092593,0,0,0,0,0,3298.958165,12000,1786.142816
2503.107213,733.9,1,733.9,0,13,0,3000,1620.193277
191.450711,1641.07,0.666667,1641.07,0,15,380.972341,500,1583.918811
3621.70204,674.73,0.25,674.73,0,12,1684.957411,4000,1139.058595
2762.479434,2702.47,1,1526.31,1176.16,27,0,11000,7596.768364
4338.606862,0,0,0,0,0,1817.569093,8000,8019.800702
388.873921,1579.15,0.583333,1462.35,116.8,15,0,2700,451.600059
9261.310686,0,0,0,0,0,8603.045938,11000,1933.413908
208.131845,2161.38,1,451.5,1709.88,41,0,4500,2059.879468
169.088238,1482.19,1,446.07,1036.12,26,0,6000,1289.570234
133.911556,1446.05,1,544.45,901.6,16,0,3500,1364.121036
1613.34907,0,0,0,0,0,1606.322681,4500,312.433361
566.908563,397.06,0.666667,303.7,93.36,12,0,2100,0
53.208422,498.17,0.916667,459.02,39.15,14,0,15000,611.606459
1329.967543,2009.12,1,1296.68,712.44,36,1763.794583,2500,2715.972095
515.904786,5359.02,1,2399.78,2959.24,60,0,6000,0
927.041961,0,0,0,0,0,402.974164,1000,719.974244
1872.767651,0,0,0,0,0,3394.509419,5500,1151.721386
185.396312,0,0,0,0,0,842.456926,1000,117.542764
4823.822993,0,0,0,0,0,6481.300951,7000,863.62306
994.105777,126.2,0.833333,126.2,0,10,0,1950,314.302968
40.089221,225,1,0,225,12,0,1500,325.578502
0.478714,734.97,0.833333,159,575.97,16,0,6000,1159.135064
4732.37354,14.95,0.083333,0,14.95,1,2173.356068,5700,1289.284068
9206.811696,874.98,0.75,350,524.98,16,4653.693195,12500,2055.100879
6719.376505,0,0,0,0,0,2443.262416,7500,1493.089193
2233.074041,445.2,0.166667,445.2,0,4,0,8000,1042.991769
1867.649838,0,0,0,0,0,3264.573342,4500,476.162309
57.842746,689.34,1,0,689.34,24,0,1500,453.842413
4194.033835,2006.87,0.666667,420.6,1586.27,26,0,21000,19714.09728
2459.862339,678,1,678,0,12,927.25167,2500,1926.31853
850.630114,0.05,0.083333,0.05,0,1,1700.634586,1000,1084.281127
353.198215,3085.69,1,3032.97,52.72,21,0,8500,2690.525687
2669.160638,0,0,0,0,0,142.141325,3000,642.777061
92.440743,1080,0.75,1080,0,12,0,6000,1077.058667
706.675991,2721.16,1,2417.41,303.75,32,0,6500,4952.900653
361.319366,3095.96,1,1383.56,1712.4,32,0,14000,4003.782858
2324.086254,0,0,0,0,0,1600.758078,2300,2147.890523
2922.487907,71.07,0.25,0,71.07,3,3595.158425,9500,9226.751112
98.364739,65,0.166667,0,65,2,0,1200,718.794328
498.208616,4786.61,0.916667,4397.64,388.97,61,0,9000,3805.669705
16.93339,174.42,0.333333,0,174.42,5,0,2500,347.08638
3355.631092,242.88,1,0,242.88,12,0,13500,6084.115091
907.982017,216.94,0.166667,216.94,0,3,1011.997944,3200,222.02316
1132.386178,2246.3,0.333333,2246.3,0,8,14048.07181,6000,32048.6122
1254.6691,361.73,0.166667,361.73,0,2,198.686744,1500,535.606816
80.336636,330,0.1,330,0,1,0,1800,345.330572
260.838885,2854.11,1,1797.96,1056.15,51,0,9500,2437.332725
17.356961,390,0.5,90,300,7,0,2000,302.454171
1897.672025,422.18,1,422.18,0,12,0,5500,2961.632199
1032.241153,1005.52,1,464.5,541.02,33,0,3000,1866.265366
3536.601227,2132.93,1,959.1,1173.83,74,5340.016172,11000,8251.146946
21.580264,284.72,0.666667,0,284.72,16,0,5000,344.161416
4211.539631,0,0,0,0,0,455.581546,10500,1288.287239
1732.715258,3244.16,1,2480.85,763.31,29,0,11500,5674.185857
8939.461145,2490.17,0.5,905.17,1585,8,5309.949725,9500,3957.017497
36.567901,1098.31,0.083333,1098.31,0,1,0,4800,0
41.754778,636.15,0.166667,636.15,0,5,0,8500,918.414211
1937.246177,3018.93,1,1702.62,1316.31,99,0,5000,3909.837604
99.955082,1222.97,1,202.97,1020,16,0,19500,1142.077891
5135.604593,110.18,0.333333,0,110.18,4,6551.99521,6000,1716.998424
214.896542,0,0,0,0,0,1192.015721,3000,2298.902197
1543.287931,0,0,0,0,0,36.481832,1800,548.589391
601.92037,983.77,0.666667,603.77,380,15,0,2400,389.411161
1261.05733,0,0,0,0,0,474.429843,1500,866.865018
85.285023,423.24,0.625,287,136.24,9,0,11000,296.01675
1903.688611,6079.5,0.916667,4719.5,1360,31,10227.22894,7300,18552.39489
813.068705,439.38,0.083333,439.38,0,2,727.658311,1200,237.996469
1279.325142,1207.25,1,0,1207.25,59,0,1200,1282.705869
237.669312,259.13,0.083333,259.13,0,1,0,2300,2680.635587
5747.761139,1627.69,1,0,1627.69,49,0,5500,2507.704747
7760.940543,0,0,0,0,0,3423.085934,8000,2845.010795
6388.108487,0,0,0,0,0,3768.696678,8000,10973.14532
426.372628,5749.96,1,5439.96,310,50,0,12000,5711.540654
8806.866629,1490.94,1,0.02,1490.92,25,2813.063846,9000,2116.662516
282.934373,0,0,0,0,0,2333.150712,3000,0
1128.229387,5068.88,1,3529.88,1539,76,0,4500,3904.568067
2045.541408,1067.28,1,0,1067.28,30,0,2000,2021.775795
8.520292,64.12,0.166667,64.12,0,2,0,7000,176.600545
11278.95243,6855.59,0.916667,2762.92,4092.67,39,0,18500,4868.088671
143.443832,1631,0.583333,0,1631,7,0,2500,2550.799492
241.223955,180.91,0.166667,180.91,0,6,0,1400,802.858576
1528.571561,0,0,0,0,0,172.931118,1600,353.582373
12474.72954,136.88,0.166667,0,136.88,2,515.147607,14000,3519.008859
566.147105,0,0,0,0,0,187.572355,2000,1177.661577
1077.606225,343.21,0.25,343.21,0,4,1609.900552,1500,930.328071
1.838084,16.5,0.083333,16.5,0,1,0,6000,57.595083
507.144348,5708.18,1,4584.78,1123.4,47,0,4000,5589.952268
816.82453,42.3,0.1,42.3,0,1,3967.709973,6000,361.853722
1526.506915,46.67,0.083333,46.67,0,1,0,1800,338.413344
7957.017218,0,0,0,0,0,4909.937494,9000,677.144841
79.189929,699.12,1,0,699.12,24,0,2500,697.977603
497.908027,245.39,0.583333,0,245.39,7,0,4000,328.796655
681.95925,98,0.166667,98,0,2,0,4000,192.369983
1535.248256,857.36,1,857.36,0,13,0,6550,3239.629759
1508.513765,2747.12,0.25,1247.12,1500,4,246.046033,5000,4730.374245
11209.37076,11147.33,1,1137.4,10009.93,126,2728.576925,11000,7932.77402
201.3504,600,0.5,0,600,6,0,1000,249.066308
2502.264409,0,0,0,0,0,2368.872642,10000,541.308981
4543.789386,255.12,0.666667,5,250.12,11,0,8500,1703.332126
918.342234,1221.53,0.333333,1180,41.53,2,1078.788118,1200,1421.035206
5066.744231,0,0,0,0,0,1974.503664,13000,1336.016317
2259.431829,780.64,1,199.65,580.99,22,1227.555485,3500,663.553502
437.789873,1532.1,0.75,223,1309.1,14,0,5000,1834.368953
2025.162877,778.33,0.916667,0,778.33,28,0,2000,1411.329676
3770.560441,964.06,0.875,260,704.06,8,5140.287889,6000,565.71913
140.730723,1667.13,1,1063.14,603.99,38,0,13000,1669.260634
5523.999416,0,0,0,0,0,4087.167822,8000,0
3298.692478,1088.83,0.416667,518.39,570.44,6,0,9000,6862.520735
150.699542,648.64,0.333333,330,318.64,5,0,2500,0
1874.843394,0,0,0,0,0,120.178123,2100,444.783009
3024.629054,0,0,0,0,0,2171.139178,4500,4226.578611
154.641707,1897.92,0.25,97.92,1800,5,0,13500,5563.437084
1322.057239,0,0,0,0,0,76.260896,6200,802.038512
62.287137,1263.29,1,279.99,983.3,25,0,9500,1356.425369
16.581535,200,0.125,0,200,2,0,1200,0
4664.023286,340,0.083333,340,0,1,3510.115735,6000,2162.141639
318.03434,1277.58,1,0,1277.58,20,0,7000,552.734714
